Open;High;Low;Close;Adj Close;Volume
421.380005;423.209991;406.369995;415.440002;415.440002;18389900
419.980011;420.500000;409.649994;411.089996;411.089996;10428600
404.690002;405.989990;378.750000;384.480011;384.480011;22490900
393.279999;404.779999;389.049988;399.390015;399.390015;15191200
407.559998;411.589996;390.000000;390.390015;390.390015;16541400
395.000000;396.899994;387.100006;395.420013;395.420013;12219900
399.190002;401.329987;390.549988;391.429993;391.429993;9252500
385.450012;398.380005;380.000000;398.179993;398.179993;8142500
399.489990;399.980011;389.500000;390.519989;390.519989;5280300
393.799988;399.239990;390.859985;398.390015;398.390015;8448900
397.450012;408.649994;395.519989;408.250000;408.250000;8629600
415.950012;419.119995;411.100006;418.970001;418.970001;11127500
417.239990;419.440002;413.079987;415.630005;415.630005;9382900
411.339996;419.769989;410.600006;418.649994;418.649994;9713900
415.160004;416.790009;407.799988;413.500000;413.500000;12743300
409.190002;410.000000;395.079987;395.799988;395.799988;15719000
398.980011;403.359985;391.750000;400.480011;400.480011;22960000
346.950012;385.000000;344.000000;379.480011;379.480011;58410400
381.239990;383.130005;372.359985;375.130005;375.130005;21746300
371.059998;375.750000;363.000000;364.230011;364.230011;16878700
364.920013;370.500000;360.140015;361.049988;361.049988;15096700
359.149994;363.899994;353.600006;362.660004;362.660004;11505200
366.940002;367.399994;354.559998;357.320007;357.320007;12851500
357.570007;363.279999;355.649994;362.869995;362.869995;8467800
358.190002;365.540009;356.630005;363.089996;363.089996;6993700
366.850006;367.000000;351.649994;355.209991;355.209991;8949500
351.929993;352.029999;334.019989;334.959991;334.959991;18260700
331.510010;342.500000;328.000000;337.450012;337.450012;14085400
335.869995;344.410004;334.019989;338.380005;338.380005;7790500
337.230011;345.000000;334.709991;344.500000;344.500000;7131300
347.750000;347.859985;338.480011;343.089996;343.089996;8848400
342.869995;351.980011;341.739990;350.920013;350.920013;8198100
353.230011;357.309998;349.010010;351.829987;351.829987;7970900
352.209991;352.290009;346.609985;347.609985;347.609985;5394700
347.959991;352.440002;345.820007;349.359985;349.359985;4820300
346.910004;349.100006;344.420013;345.869995;345.869995;4328400
339.890015;347.190002;339.070007;341.309998;341.309998;6888900
342.089996;342.410004;336.250000;337.489990;337.489990;5805200
334.029999;335.500000;321.000000;326.399994;326.399994;11784500
329.899994;331.170013;321.209991;322.440002;322.440002;6689700
319.010010;324.369995;312.959991;316.779999;316.779999;10407900
314.640015;331.600006;310.929993;327.730011;327.730011;13591100
331.000000;341.500000;329.700012;338.019989;338.019989;14783200
338.489990;346.209991;337.410004;344.440002;344.440002;8930700
348.109985;350.079987;337.649994;339.170013;339.170013;11336400
346.000000;359.149994;344.540009;358.820007;358.820007;14729100
367.149994;374.489990;360.000000;364.579987;364.579987;17427300
367.230011;369.989990;360.380005;368.489990;368.489990;9222600
367.200012;369.859985;362.910004;368.040009;368.040009;8118700
365.000000;376.809998;363.540009;370.980011;370.980011;10981000
370.660004;376.000000;367.079987;367.679993;367.679993;7943400
366.470001;368.880005;361.260010;363.600006;363.600006;7605200
360.000000;363.390015;335.829987;341.179993;341.179993;13092800
347.440002;356.000000;341.989990;346.459991;346.459991;13050200
342.200012;355.750000;341.250000;348.679993;348.679993;9105800
352.269989;352.500000;343.079987;348.410004;348.410004;5752200
344.670013;356.149994;343.899994;355.929993;355.929993;6198100
359.079987;370.429993;356.239990;369.950012;369.950012;10480800
371.910004;374.089996;366.839996;368.149994;368.149994;8366100
368.549988;371.089996;363.459991;364.559998;364.559998;4756400
364.220001;367.329987;349.570007;350.350006;350.350006;7071900
353.670013;368.149994;351.559998;367.649994;367.649994;10414000
373.950012;377.609985;359.170013;366.959991;366.959991;11876800
370.260010;370.260010;363.170013;365.359985;365.359985;6768100
366.589996;372.220001;360.739990;361.190002;361.190002;11930600
359.000000;373.640015;354.329987;369.609985;369.609985;9322500
370.230011;371.339996;364.489990;369.429993;369.429993;6799800
373.589996;382.000000;370.880005;377.880005;377.880005;13799700
379.869995;383.200012;376.000000;380.709991;380.709991;7326200
379.239990;380.799988;373.730011;374.130005;374.130005;7114900
375.850006;386.109985;375.589996;381.429993;381.429993;8376600
384.380005;386.799988;373.829987;377.140015;377.140015;8638700
378.529999;380.929993;374.880005;377.049988;377.049988;5798600
375.880005;375.920013;360.399994;363.649994;363.649994;9074400
359.769989;363.500000;343.000000;351.350006;351.350006;13523000
345.179993;352.950012;338.109985;349.100006;349.100006;12375500
348.480011;358.720001;347.089996;355.709991;355.709991;8755000
353.519989;355.149994;325.390015;325.890015;325.890015;17183100
324.940002;334.200012;315.809998;321.100006;321.100006;16082100
339.570007;341.299988;328.899994;339.559998;339.559998;14870800
337.630005;339.209991;326.929993;333.130005;333.130005;11215000
337.239990;347.950012;330.559998;346.399994;346.399994;20156400
378.329987;380.000000;356.500000;364.700012;364.700012;32610900
360.670013;362.200012;346.049988;346.709991;346.709991;18461000
351.000000;355.799988;332.200012;332.670013;332.670013;16717200
333.100006;335.799988;320.339996;329.540009;329.540009;17097200
318.000000;336.579987;316.769989;333.160004;333.160004;14907300
332.279999;333.000000;300.730011;301.829987;301.829987;19039300
307.119995;319.940002;305.250000;312.869995;312.869995;13346900
300.510010;313.989990;292.299988;299.829987;299.829987;19616000
305.260010;307.890015;275.399994;284.839996;284.839996;21698800
275.570007;290.519989;271.209991;285.809998;285.809998;23685700
297.769989;311.500000;295.049988;301.779999;301.779999;20360300
304.589996;318.450012;296.670013;317.380005;317.380005;15121500
